ability_id,ability_short_effect_markup,ability_short_effect_html
180,Passes the bearer's held item to an ally when the ally uses up its item.,Passes the bearer's held item to an ally when the ally uses up its item.
181,Strengthens moves that make contact to 1.33x their power.,Strengthens moves that make contact to 1.33x their power.
182,Turns the bearer's {NORMAL;TYPE;Normal} moves into {FAIRY;TYPE;Fairy} moves and strengthens them to 1.3x their power.,"Turns the bearer's <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span> moves into <span style=""background-color: #f2a5ff; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fairy"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/1193c4cd69c93d47a5709ea20b8d05a0edbe0b764393ef51c84f6e56a896359c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fairy""><span style=""color: rgb(255, 255, 255);"">Fairy</span></a></span> moves and strengthens them to 1.3x their power."
183,Lowers attacking Pokémon's {Speed;STAT;SPEED} by one stage on contact.,"Lowers attacking Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by one stage on contact."
184,Turns the bearer's {NORMAL;TYPE;Normal} moves into {FLYING;TYPE;Flying} moves and strengthens them to 1.3x their power.,"Turns the bearer's <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span> moves into <span style=""background-color: #8FB8E5; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Flying"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/fab0a4d3718b88e4477c37e89ef56d1eb8b5ebcc591c4a13f2047cc3d7288b3a"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Flying""><span style=""color: rgb(255, 255, 255);"">Flying</span></a></span> moves and strengthens them to 1.3x their power."
185,Lets the bearer hit twice with damaging moves. The second hit has half power.,Lets the bearer hit twice with damaging moves. The second hit has half power.
186,Strengthens {DARK;TYPE;Dark} moves to 1.33x their power for all friendly and opposing Pokémon.,"Strengthens <span style=""background-color: #705848; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Dark"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/3d030dfd23d2193cede25996116d4a6facfcc9f4dd4a95f62e868c1691aac82c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Dark""><span style=""color: rgb(255, 255, 255);"">Dark</span></a></span> moves to 1.33x their power for all friendly and opposing Pokémon."
187,Strengthens {FAIRY;TYPE;Fairy} moves to 1.33x their power for all friendly and opposing Pokémon.,"Strengthens <span style=""background-color: #f2a5ff; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fairy"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/1193c4cd69c93d47a5709ea20b8d05a0edbe0b764393ef51c84f6e56a896359c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fairy""><span style=""color: rgb(255, 255, 255);"">Fairy</span></a></span> moves to 1.33x their power for all friendly and opposing Pokémon."
188,Makes {Dark Aura;ABILITY;dark-aura} and {Fairy Aura;ABILITY;fairy-aura} weaken moves of their respective types.,"Makes <a href=""/abilities/dark-aura"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dark Aura</span></a> and <a href=""/abilities/fairy-aura"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fairy Aura</span></a> weaken moves of their respective types."
189,"Creates heavy {rain;WEATHER;RAIN}, which has all the properties of {Rain Dance;MOVE;rain-dance}, cannot be replaced, and causes damaging {FIRE;TYPE;Fire}-type moves to fail.","Creates heavy <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, which has all the properties of <a href=""/moves/rain-dance"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rain Dance</span></a>, cannot be replaced, and causes damaging <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type moves to fail."
190,"Creates extremely {harsh sunlight;WEATHER;HARSHSUNLIGHT}, which has all the properties of {Sunny Day;MOVE;sunny-day}, cannot be replaced, and causes damaging {WATER;TYPE;Water}-type moves to fail.","Creates extremely <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, which has all the properties of <a href=""/moves/sunny-day"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sunny Day</span></a>, cannot be replaced, and causes damaging <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span>-type moves to fail."
191,"Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against {FLYING;TYPE;Flying} Pokémon.","Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against <span style=""background-color: #8FB8E5; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Flying"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/fab0a4d3718b88e4477c37e89ef56d1eb8b5ebcc591c4a13f2047cc3d7288b3a"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Flying""><span style=""color: rgb(255, 255, 255);"">Flying</span></a></span> Pokémon."
192,Raises this Pokémon's {Defense;STAT;DEFENSE} by one stage when it takes damage from a move.,"Raises this Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by one stage when it takes damage from a move."
193,This Pokémon automatically switches out when its {HP;STAT;HP} drops below half.,"This Pokémon automatically switches out when its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> drops below half."
194,This Pokémon automatically switches out when its {HP;STAT;HP} drops below half.,"This Pokémon automatically switches out when its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> drops below half."
195,Raises this Pokémon's {Defense;STAT;DEFENSE} by two stages when it's hit by a {WATER;TYPE;Water}-type move.,"Raises this Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by two stages when it's hit by a <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span>-type move."
196,This Pokémon's moves critical hit against poisoned targets.,This Pokémon's moves critical hit against poisoned targets.
197,Transforms this {Minior;POKEMON;minior} between Core Form and Meteor Form. Prevents {major status effects;STATUS;-} and drowsiness while in Meteor Form.,"Transforms this <a href=""/pokemon/minior"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Minior</span><img src=""https://cdn.pokedb.org/82991eb397bd62c8d41d83d04693d037517acc768abd17c923ad47abef8e22ebw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Minior"" style=""width: 20px; height: 20px""></a> between Core Form and Meteor Form. Prevents <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effects</span></a> and drowsiness while in Meteor Form."
198,This Pokémon's moves have double power against Pokémon that switched in this turn.,This Pokémon's moves have double power against Pokémon that switched in this turn.
199,"Halves damage from {FIRE;TYPE;Fire}-type moves, doubles damage of {WATER;TYPE;Water}-type moves, and prevents burns.","Halves damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type moves, doubles damage of <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span>-type moves, and prevents burns."
200,This Pokémon's {STEEL;TYPE;Steel}-type moves have 1.5x power.,"This Pokémon's <span style=""background-color: #4D3F3F; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Steel"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/e34ae6bf5aa2a8934994ad60980b3aa9be2c19db8d2c5408817b185dc3f4b9d7"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Steel""><span style=""color: rgb(255, 255, 255);"">Steel</span></a></span>-type moves have 1.5x power."
201,Raises this Pokémon's {Special Attack;STAT;SPATK} by one stage every time its {HP;STAT;HP} drops below half.,"Raises this Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by one stage every time its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> drops below half."
202,"During {hail;WEATHER;HAIL}, this Pokémon has double {Speed;STAT;SPEED}.","During <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">hail</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_blizzard_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, this Pokémon has double <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
203,This Pokémon's moves do not make contact.,This Pokémon's moves do not make contact.
204,Sound-based moves become {WATER;TYPE;Water}-type.,"Sound-based moves become <span style=""background-color: #4D79BC; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Water"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53ac01b352ec9dea6c9db4c7f8b99b914098bcf6c63d262280fa3d5e7096a090"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Water""><span style=""color: rgb(255, 255, 255);"">Water</span></a></span>-type."
205,This Pokémon's healing moves have their priority increased by 3.,This Pokémon's healing moves have their priority increased by 3.
206,This Pokémon's {NORMAL;TYPE;Normal} moves are {ELECTRIC;TYPE;Electric} and have their power increased to 1.2x.,"This Pokémon's <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span> moves are <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span> and have their power increased to 1.2x."
207,Doubles this Pokémon's {Speed;STAT;SPEED} on {Electric Terrain;MOVE;electric-terrain}.,"Doubles this Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> on <a href=""/moves/electric-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Electric Terrain</span></a>."
208,Wishiwashi becomes Schooling Form when its {HP;STAT;HP} is 25% or higher.,"Wishiwashi becomes Schooling Form when its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is 25% or higher."
209,Prevents the first instance of battle damage.,Prevents the first instance of battle damage.
210,Transforms this Pokémon into {Ash-Greninja;POKEMON;greninja} after fainting an opponent. {Water Shuriken's;MOVE;water-shuriken} power is 20 and always hits three times.,"Transforms this Pokémon into <a href=""/pokemon/greninja"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Greninja</span><img src=""https://cdn.pokedb.org/a0873b1499d8eed687a2e2a00a66b0a869f49e0ccc59341bd21875c4afa4174ew40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Greninja"" style=""width: 20px; height: 20px""></a> after fainting an opponent. <a href=""/moves/water-shuriken"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Water Shuriken's</span></a> power is 20 and always hits three times."
211,Transforms 10% or 50% {Zygarde;POKEMON;zygarde} into Complete Forme when its {HP;STAT;HP} is below 50%.,"Transforms 10% or 50% <a href=""/pokemon/zygarde"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Zygarde</span><img src=""https://cdn.pokedb.org/da2a324aff95755eed6c57d8af65e5bee37d861c7b14c9eb541d4c2b61452b9aw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Zygarde"" style=""width: 20px; height: 20px""></a> into Complete Forme when its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> is below 50%."
212,This Pokémon can inflict {poison;STATUS;poison} on {POISON;TYPE;Poison} and {STEEL;TYPE;Steel} Pokémon.,"This Pokémon can inflict <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poison</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> on <span style=""background-color: #6D4C97; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Poison"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/cbd193ae58f1a8e70b4222af6a57b9db473960fadf1efcaa9965d6a8dbbafc5b"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Poison""><span style=""color: rgb(255, 255, 255);"">Poison</span></a></span> and <span style=""background-color: #4D3F3F; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Steel"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/e34ae6bf5aa2a8934994ad60980b3aa9be2c19db8d2c5408817b185dc3f4b9d7"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Steel""><span style=""color: rgb(255, 255, 255);"">Steel</span></a></span> Pokémon."
213,This Pokémon always acts as though it were {asleep;STATUS;sleep}.,"This Pokémon always acts as though it were <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>asleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a>."
214,Opposing Pokémon cannot use priority attacks.,Opposing Pokémon cannot use priority attacks.
215,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the {HP;STAT;HP} this Pokémon had remaining.","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> this Pokémon had remaining."
216,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards."
217,Ally Pokémon's moves have their power increased to 1.3x.,Ally Pokémon's moves have their power increased to 1.3x.
218,Damage from contact moves is halved. Damage from {FIRE;TYPE;Fire}-type moves is doubled.,"Damage from contact moves is halved. Damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span>-type moves is doubled."
219,Opposing Pokémon cannot use priority attacks.,Opposing Pokémon cannot use priority attacks.
220,This Pokémon's {Special Attack;STAT;SPATK} rises by one stage every time any Pokémon faints.,"This Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> rises by one stage every time any Pokémon faints."
221,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's {Speed;STAT;SPEED} lowers by one stage.","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> lowers by one stage."
222,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability."
223,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability."
224,Raises this Pokémon's highest {stat;STAT;STATS} by one stage when it faints another Pokémon.,"Raises this Pokémon's highest <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by one stage when it faints another Pokémon."
225,Changes this Pokémon's type to match its held Memory.,Changes this Pokémon's type to match its held Memory.
226,"When this Pokémon enters battle, it changes the terrain to {Electric Terrain;MOVE;electric-terrain}.","When this Pokémon enters battle, it changes the terrain to <a href=""/moves/electric-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Electric Terrain</span></a>."
227,"When this Pokémon enters battle, it changes the terrain to {Psychic Terrain;MOVE;psychic-terrain}.","When this Pokémon enters battle, it changes the terrain to <a href=""/moves/psychic-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Psychic Terrain</span></a>."
228,"When this Pokémon enters battle, it changes the terrain to {Misty Terrain;MOVE;misty-terrain}.","When this Pokémon enters battle, it changes the terrain to <a href=""/moves/misty-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Misty Terrain</span></a>."
229,"When this Pokémon enters battle, it changes the terrain to {Grassy Terrain;MOVE;grassy-terrain}.","When this Pokémon enters battle, it changes the terrain to <a href=""/moves/grassy-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Grassy Terrain</span></a>."
230,Other Pokémon cannot lower this Pokémon's {stats;STAT;STATS}.,"Other Pokémon cannot lower this Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stats</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
231,"When this Pokémon has full {HP;STAT;HP}, regular damage from moves is halved.","When this Pokémon has full <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, regular damage from moves is halved."
232,Reduces super-effective damage to 0.75x.,Reduces super-effective damage to 0.75x.
233,Increases super-effective damage dealt to 1.25x.,Increases super-effective damage dealt to 1.25x.
